Product Handle,Variant SKU,Product Title,Gia VND,Duong dan anh (local)
cinccino-ex-179-165,POKE-0022,Cinccino ex 179/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Cinccino ex 179_165.png
clefairy-pof-094-131,POKE-0023,Clefairy POF 094/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Clefairy POF 094_131.png
cleffa-30-hp,POKE-0024,Cleffa 30 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Cleffa 30 HP.png
charmeleon-110-165,POKE-0019,Charmeleon 110/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charmeleon 110_165.png
charmander-svp-044,POKE-0018,Charmander SVP 044,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charmander SVP 044.png
charmander-mep-038,POKE-0017,Charmander MEP 038,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charmander MEP 038.png
cleffa-obf-202-197,POKE-0025,Cleffa OBF 202/197,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Cleffa OBF 202_197.png
cyndaquil-mep-044,POKE-0026,Cyndaquil MEP 044,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Cyndaquil MEP 044.png
chien-pao-ex-261-193,POKE-0020,Chien-Pao ex 261/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Chien-Pao ex 261_193.png
chikorita-mep-043,POKE-0021,Chikorita MEP 043,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Chikorita MEP 043.png
charmander-meg-169-165,POKE-0016,Charmander MEG 169/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charmander MEG 169_165.png
dedenne-scr-184-142,POKE-0027,Dedenne SCR 184/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Dedenne SCR 184_142.png
gardevoir-ex-asr-238-217,POKE-0038,Gardevoir ex ASR 238/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Gardevoir ex ASR 238_217.png
froakie-scr-176-142,POKE-0034,Froakie SCR 176/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Froakie SCR 176_142.png
espeon-ex-pre-155-131,POKE-0032,Espeon ex PRE 155/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Espeon ex PRE 155_131.png
frogadier-scr-177-142,POKE-0035,Frogadier SCR 177/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Frogadier SCR 177_142.png
flareon-170-167,POKE-0033,Flareon 170/167,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Flareon 170_167.png
empoleon-v-040-163,POKE-0031,Empoleon V 040/163,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Empoleon V 040_163.png
fuecoco-201-193,POKE-0036,Fuecoco 201/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Fuecoco 201_193.png
eevee-svp-173,POKE-0030,Eevee SVP 173,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Eevee SVP 173.png
eevee-ex-pre-075-131,POKE-0029,Eevee ex PRE 075/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Eevee ex PRE 075_131.png
eevee-ex-pre-075-131-2,POKE-0028,Eevee ex PRE 075/131 (2),,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Eevee ex PRE 075_131 (2).png
gallade-v-tg19-tg30,POKE-0037,Gallade V TG19/TG30,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Gallade V TG19_TG30.png
greninja-ex-132-182,POKE-0041,Greninja ex 132/182,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Greninja ex 132_182.png
giratina-v-lor-186-196,POKE-0039,Giratina V LOR 186/196,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Giratina V LOR 186_196.png
kyogre-083-064,POKE-0051,Kyogre 083/064,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Kyogre 083_064.png
grookey-mep-001,POKE-0042,Grookey MEP 001,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Grookey MEP 001.png
glaceon-ex-pre-026-131,POKE-0040,Glaceon ex PRE 026/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Glaceon ex PRE 026_131.png
groudon-084-064,POKE-0043,Groudon 084/064,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Groudon 084_064.png
haunter-027,POKE-0045,Haunter 027,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Haunter 027.png
hisuian-typhlosion-h16,POKE-0046,Hisuian Typhlosion H16,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Hisuian Typhlosion H16.png
ivysaur-meg-134-132,POKE-0047,Ivysaur MEG 134/132,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Ivysaur MEG 134_132.png
ivysaur-meg-167-165,POKE-0048,Ivysaur MEG 167/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Ivysaur MEG 167_165.png
kingdra-ex-svp131,POKE-0050,Kingdra ex SVP131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Kingdra ex SVP131.png
groudon-ssp-199-191,POKE-0044,Groudon SSP 199/191,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Groudon SSP 199_191.png
jolteon-ex-pre-028-131,POKE-0049,Jolteon ex PRE 028/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Jolteon ex PRE 028_131.png
mega-charizard-x-ex-h10,POKE-0056,Mega Charizard X ex H10,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Charizard X ex H10.png
mega-froslass-ex-210-hp,POKE-0059,Mega Froslass ex 210 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Froslass ex 210 HP.png
lillies-clefairy-ex-sv9-126-100,POKE-0054,Lillie's Clefairy ex SV9 126/100,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Lillie_s Clefairy ex SV9 126_100.png
mega-dragonite-ex-232-193,POKE-0057,Mega Dragonite ex 232/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Dragonite ex 232_193.png
lapras-jtg-031-182,POKE-0052,Lapras JTG 031/182,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Lapras JTG 031_182.png
mega-froslass-ex-224-132,POKE-0060,Mega Froslass ex 224/132,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Froslass ex 224_132.png
leafeon-ex-pre-005-131,POKE-0053,Leafeon ex PRE 005/131,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Leafeon ex PRE 005_131.png
mega-charizard-x-ex-252-193,POKE-0055,Mega Charizard X ex 252/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Charizard X ex 252_193.png
mega-dragonite-ex-290-217,POKE-0058,Mega Dragonite ex 290/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Dragonite ex 290_217.png
meowth-asr-263-217,POKE-0064,Meowth ASR 263/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Meowth ASR 263_217.png
mega-greninja-ex-asr-279-217,POKE-0063,Mega Greninja ex ASR 279/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Greninja ex ASR 279_217.png
mega-gengar-ex-269-217,POKE-0061,Mega Gengar ex 269/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Gengar ex 269_217.png
mega-gengar-ex-asr-284-217,POKE-0062,Mega Gengar ex ASR 284/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mega Gengar ex ASR 284_217.png
numel-222-091,POKE-0070,Numel 222/091,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Numel 222_091.png
oshawott-105-086,POKE-0072,Oshawott 105/086,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Oshawott 105_086.png
mew-ex-svp-053,POKE-0067,Mew ex SVP 053,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mew ex SVP 053.png
numel-asr-028-217,POKE-0071,Numel ASR 028/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Numel ASR 028_217.png
pikachu-av-070,POKE-0077,Pikachu AV 070,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu AV 070.png
mew-ex-paf-232-091,POKE-0065,Mew ex PAF 232/091,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mew ex PAF 232_091.png
nidoking-174-165,POKE-0069,Nidoking 174/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Nidoking 174_165.png
pikachu-70-hp-2,POKE-0075,Pikachu 70 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu 70 HP.png
oshawott-mep-051,POKE-0073,Oshawott MEP 051,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Oshawott MEP 051.png
pikachu-276-217,POKE-0074,Pikachu 276/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu 276_217.png
mew-ex-svp-053-2,POKE-0066,Mew ex SVP 053 (2),,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mew ex SVP 053 (2).png
mewtwo-160-165,POKE-0068,Mewtwo 160/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Mewtwo 160_165.png
pikachu-asr-056-172,POKE-0076,Pikachu ASR 056/172,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu ASR 056_172.png
skeledirge-ex-258-193,POKE-0090,Skeledirge ex 258/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Skeledirge ex 258_193.png
pikachu-gem-019-030,POKE-0079,Pikachu GEM 019/030,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu GEM 019_030.png
snivy-070-066,POKE-0091,Snivy 070/066,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Snivy 070_066.png
pikachu-svp-241,POKE-0082,Pikachu SVP 241,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu SVP 241.png
pikachu-ssp-173-191,POKE-0080,Pikachu SSP 173/191,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu SSP 173_191.png
pikachu-ex-276-217,POKE-0078,Pikachu ex 276/217,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu ex 276_217.png
psyduck,POKE-0087,Psyduck,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Psyduck.png
rayquaza-vmax-evs-218-203,POKE-0088,Rayquaza VMAX EVS 218/203,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Rayquaza VMAX EVS 218_203.png
pikachu-with-grey-felt-hat-svp-085,POKE-0084,Pikachu with Grey Felt Hat SVP 085,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu with Grey Felt Hat SVP 085.png
pikachu-vmax-310-hp,POKE-0083,Pikachu VMAX 310 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu VMAX 310 HP.png
poliwhirl-176-165,POKE-0085,Poliwhirl 176/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Poliwhirl 176_165.png
rosas-encouragement-h19,POKE-0089,Rosa's Encouragement H19,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Rosa_s Encouragement H19.png
psyduck-mew-175-165,POKE-0086,Psyduck MEW 175/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Psyduck MEW 175_165.png
pikachu-svp-175,POKE-0081,Pikachu SVP 175,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Pikachu SVP 175.png
umbreon-vmax-evs-095-203,POKE-0106,Umbreon VMAX EVS 095/203,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Umbreon VMAX EVS 095_203.png
squirtle-60-hp,POKE-0095,Squirtle 60 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Squirtle 60 HP.png
special-delivery-pikachu-swsh074,POKE-0094,Special Delivery Pikachu SWSH074,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Special Delivery Pikachu SWSH074.png
